"Account type","Tipo de cuenta"
"Container Id","Identificador del contenedor"
"Creative","Creativo"
"Google Analytics","Google Analytics"
"Google Analytics Enhanced Ecommerce","Comercio electrónico mejorado de Google Analytics"
"Google Analytics Enhanced Ecommerce Settings","Ajustes de comercio electrónico mejorado de Google Analytics"
"Google Tag Manager","Google Tag Manager"
"List property for the catalog page","Propiedad de lista para la página del catálogo"
"List property for the cross-sell block","Propiedad de lista para el bloque de ventas cruzadas"
"List property for the related products block","Propiedad de lista para el bloque de productos relacionados"
"List property for the search results page","Propiedad de lista para la página de resultados de la búsqueda"
"List property for the up-sell block","Propiedad de lista para la página del catálogo"
"No","No"
"Send to Google","Enviar a Google"
"Universal Analytics","Análisis universal"
"Yes","Sí"
"’Internal Promotions’ for promotions field “Label”.","“Promociones internas” para el campo de promociones ""Etiqueta""."
