"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Toutes les cartes de crédit / Visa, Mastercard, AMEX, JCB, Diners (via Moneybookers) - International"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (via Moneybookers) - Italie"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (via Moneybookers) - France"
"Customer ID","Identifiant Client"
"Dankort (powered by Moneybookers) - Denmark","Dankort (via Moneybookers) - Danemark"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (via Moneybookers) - Autriche"
"Enabled","Actif"
"Find out more about Online Bank Transfer","Decouvrez-en plus sur les tranferts bancaires en ligne"
"Giropay (powered by Moneybookers) - Germany","Giropay (via Moneybookers) - Allemagne"
"Laser (powered by Moneybookers) - Ireland","Laser (via Moneybookers) - Irlande"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (via Moneybookers) - Allemagne"
"Loading secure payment page (SSL)","Chargement de la page de paiement sécurisé"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (via Moneybookers) - Royaume-Uni, Autriche, Espagne"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Paramètres Moneybookers"
"Moneybookers Transaction ID: %s","Identification des transactions Moneybookers : %s"
"Moneybookers eWallet","E-portefeuille Moneybookers"
"More information about Moneybookers","Plus d'informations sur Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (via Moneybookers) - Finlande"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (via Moneybookers) - Suède"
"Online Bank Transfer (powered by Moneybookers)","Transfert en ligne (via Moneybookers)"
"Order ID","Identifiant commande"
"POLi (powered by Moneybookers) - Australia","POLi (via Moneybookers) - Australie"
"Payment failed.","Le paiement a échoué."
"Payment from Applicable Countries","Paiement depuis les pays applicables"
"Payment from Specific Countries","Paiement depuis les pays spécifiques"
"Payment has not been processed yet.","Le paiement est en cours de traitement."
"Payment was canceled.","Le paiement a été annulé."
"Pending bank transfer created.","Un transfert bancaire en attente a été créé."
"Please pay your order now","Veuillez désormais procéder au paiement de votre commande."
"Postepay (powered by Moneybookers) - Italy","Postepay (via Moneybookers) - Italie"
"Powered by Moneybookers","Via Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (via Moneybookers) - Pologne"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (via Moneybookers) - Allemagne"
"Sort Order","Trier par commande"
"The amount has been authorized and captured by Moneybookers.","Le montant a été autorisé et saisi par Moneybookers."
"The customer was redirected to Moneybookers.","Le client a été redirigé vers le site Moneybookers."
"The order has been canceled.","La commande a été annulée."
"Title","Titre"
"You will be redirected to our secure payment page when you place an order.","Vous serez redirigé vers notre page de paiement sécurisé après avoir effectué une commande."
"eNETS (powered by Moneybookers) - Singapore","eNETS (via Moneybookers) - Singapour"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (via Moneybookers) - Pays-Bas"
