"Account type","Accounttype"
"Container Id","Container-ID"
"Creative","Creatief"
"Google Analytics","Google Analytics"
"Google Analytics Enhanced Ecommerce","Verbeterde E-commerce van Google Analytics"
"Google Analytics Enhanced Ecommerce Settings","Verbeterde E-commerce-instellingen van Google Analytics"
"Google Tag Manager","Manager van Google Tag"
"List property for the catalog page","Eigenschap opnoemen voor de cataloguspagina"
"List property for the cross-sell block","Eigenschap opnoemen voor het cross-selling-blok"
"List property for the related products block","Eigenschap opnoemen voor het daarmee verband houdende productenblok"
"List property for the search results page","Eigenschap opnoemen voor de pagina met zoekresultaten"
"List property for the up-sell block","Eigenschap opnoemen voor het upsell-blok"
"No","Nee"
"Send to Google","Naar Google opsturen"
"Universal Analytics","Universal Analytics"
"Yes","Ja"
"’Internal Promotions’ for promotions field “Label”.","""Interne promoties"" voor promotieveld ""Label"""
