"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Alle kredietkaarten/Visa, Mastercard, AMEX, JCB, Diners (mogelijk gemaakt door Moneybookers) - Internationaal"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (mogelijk gemaakt door Moneybookers) - Italië"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (mogelijk gemaakt door Moneybookers) - Frankrijk"
"Customer ID","Klant ID"
"Dankort (powered by Moneybookers) - Denmark","Dankort (mogelijk gemaakt door Moneybookers) - Denemarken"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (mogelijk gemaakt door Moneybookers) - Oostenrijk"
"Enabled","Aan"
"Find out more about Online Bank Transfer","Meer te weten komen over Online Bank Transfer"
"Giropay (powered by Moneybookers) - Germany","Giropay (mogelijk gemaakt door Moneybookers) - Duitsland"
"Laser (powered by Moneybookers) - Ireland","Laser (mogelijk gemaakt door Moneybookers) - Ierland"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (mogelijk gemaakt door Moneybookers) - Duitsland"
"Loading secure payment page (SSL)","Laden van beveiligde betaalpagina (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (mogelijk gemaakt door Moneybookers) - Verenigd Koninkrijk, Oostenrijk, Spanje"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Instellingen van Moneybookers"
"Moneybookers Transaction ID: %s","Transactie-ID van Moneybookers: %s"
"Moneybookers eWallet","eWallet van Moneybookers"
"More information about Moneybookers","Meer informatie over Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (mogelijk gemaakt door Moneybookers) - Finland"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (mogelijk gemaakt door Moneybookers) - Zweden"
"Online Bank Transfer (powered by Moneybookers)","Online Bank Transfer (mogelijk gemaakt door Moneybookers)"
"Order ID","Bestelling ID"
"POLi (powered by Moneybookers) - Australia","POLi (mogelijk gemaakt door Moneybookers) - Australië"
"Payment failed.","Betaling mislukt."
"Payment from Applicable Countries","Betaling van Geëigende Landen"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"Payment has not been processed yet.","Betaling is nog niet verwerkt."
"Payment was canceled.","Betaling werd geannuleerd."
"Pending bank transfer created.","Hangende bankoverschrijving is gemaakt."
"Please pay your order now","Betaal uw bestelling nu"
"Postepay (powered by Moneybookers) - Italy","Postepay (mogelijk gemaakt door Moneybookers) - Italië"
"Powered by Moneybookers","Mogelijk gemaakt door Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (mogelijk gemaakt door Moneybookers) - Polen"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (mogelijk gemaakt door Moneybookers) - Duitsland"
"Sort Order","sorteer volgorde"
"The amount has been authorized and captured by Moneybookers.","Het bedrag is geautoriseerd en opgenomen door Moneybookers."
"The customer was redirected to Moneybookers.","De klant werd doorgestuurd naar Moneybookers."
"The order has been canceled.","De bestelling werd geannuleerd."
"Title","Titel"
"You will be redirected to our secure payment page when you place an order.","U wordt doorgestuurd naar onze beveiligde betalingspagina wanneer u een bestelling plaatst."
"eNETS (powered by Moneybookers) - Singapore","eNETS (mogelijk gemaakt door Moneybookers) - Singapore"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (mogelijk gemaakt door Moneybookers) - Nederland"
