"Account type","Tipo de conta"
"Container Id","Código de Identificação do contêiner "
"Creative","Criativo"
"Google Analytics","Google Analytics"
"Google Analytics Enhanced Ecommerce","E-commerce Aprimorado com o Google Analytics"
"Google Analytics Enhanced Ecommerce Settings","Configurações de E-commerce Aprimoradas com o Google Analytics"
"Google Tag Manager","Gerenciador de Etiquetas do Google"
"List property for the catalog page","Listar propriedades para a página de catálogo"
"List property for the cross-sell block","Listar propriedades para o bloco de produtos complementares"
"List property for the related products block","Listar propriedades para o bloco de produtos relacionados"
"List property for the search results page","Listar propriedades para a página de resultados de busca"
"List property for the up-sell block","Listar propriedades para o bloco de propaganda de produtos melhores"
"No","Não"
"Send to Google","Enviar para o Google"
"Universal Analytics","Universal Analytics"
"Yes","Sim"
"’Internal Promotions’ for promotions field “Label”.","Promoções internas' ""para o campo de promoções ""rótulo""."
